"train/global_step","translategemma-4b-darija-en-v5 - train/loss","translategemma-4b-darija-en-v5 - train/loss__MIN","translategemma-4b-darija-en-v5 - train/loss__MAX","translategemma-4b-darija-en-v5 - _step","translategemma-4b-darija-en-v5 - _step__MIN","translategemma-4b-darija-en-v5 - _step__MAX"
"310","0.7872737884521485","0.7872737884521485","0.7872737884521485","71","71","71"
"315","0.7744736194610595","0.7744736194610595","0.7744736194610595","72","72","72"
"320","0.753620719909668","0.753620719909668","0.753620719909668","73","73","73"
"325","0.7512413501739502","0.7512413501739502","0.7512413501739502","74","74","74"
"330","0.8081618309020996","0.8081618309020996","0.8081618309020996","75","75","75"
"335","0.7794148921966553","0.7794148921966553","0.7794148921966553","76","76","76"
"340","0.789684247970581","0.789684247970581","0.789684247970581","77","77","77"
"345","0.7774936199188233","0.7774936199188233","0.7774936199188233","78","78","78"
"350","0.7533862113952636","0.7533862113952636","0.7533862113952636","80","80","80"
"355","0.7294712066650391","0.7294712066650391","0.7294712066650391","81","81","81"
"360","0.833014965057373","0.833014965057373","0.833014965057373","82","82","82"
"365","0.7594820022583008","0.7594820022583008","0.7594820022583008","83","83","83"
"370","0.7750569343566894","0.7750569343566894","0.7750569343566894","84","84","84"
"375","0.7590614795684815","0.7590614795684815","0.7590614795684815","85","85","85"
"380","0.7668575763702392","0.7668575763702392","0.7668575763702392","86","86","86"
"385","0.7599033832550048","0.7599033832550048","0.7599033832550048","87","87","87"
"390","0.7358363151550293","0.7358363151550293","0.7358363151550293","88","88","88"
"395","0.7814345359802246","0.7814345359802246","0.7814345359802246","89","89","89"
"400","0.7023898124694824","0.7023898124694824","0.7023898124694824","91","91","91"
"405","0.7366668701171875","0.7366668701171875","0.7366668701171875","92","92","92"
"410","0.7718391418457031","0.7718391418457031","0.7718391418457031","93","93","93"
"415","0.7417862415313721","0.7417862415313721","0.7417862415313721","94","94","94"
